District,Lat,Lon,Rent
Obolonsky,50.557136,30.319664,11500
Svatoshinsky,50.463583,30.352287,9000
Podilsky,50.492789,30.366122,10300
Shevchenkivsky,50.456793,30.496864,13700
Pechersky,50.419652,30.548245,23200
Dniprovsky,50.443046,30.62397,9200
Desnansky,50.517948,30.604093,7800
Darnicky,50.406387,30.648453,12000
Solomensky,50.416456,30.456552,11300
Holoseevsky,50.349179,30.550377,13900
